Question,Answer
ما طرق الوقاية من الجمرة الخبيثة؟,تجنب اكل اللحم النيء وغير المطبوخ جيدا وحرق جثة الحيوان المصاب وتلقيح الحيوان
ما الأصل الجنيني للمريطاء؟,السقاء
مريض عمره 60 سنة كان يعمل بمنجم للفحم لمدة 20 سنة، راجع بسعال وزلة تنفسية، صورة الصدر أظهرت ارتشاحات خلالية، فحص القشع كان إيجابيًا لعصية كوخ، ما العوامل التي قد تكون مؤهبة لإصابته بالتدرن؟,السيليكا
ما المركب المستخدم في علاج الاكتئاب والوسواس القهري؟,فلوكسيتين
إلاما يؤدي تفعيل المكون الودي للجهاز العصبي المستقل؟,ارتفاع الضغط الشرياني وتوسع حدقتي العينين وتفعيل التشكيل الشبكي الصاعد
ما الهرمونات التي تمنع تقويض البروتينات في الجسم؟,هرمونات الدرق T3 و T4 وهرمون النمو والتستوستيرون
من أين تنشأ الظهارة المبطنة للمثانة البولية؟,الاديم الباطن
ما الإجراءات التي يجب اتخاذها في تدبير مريضة الارتجاع الحملي؟,إنهاء الحمل
أين توجد التفاغرات الشريانية الوريدية بغزارة؟,أصابع اليدين والقدمين والأنف والأذن والشفتين
ما العوامل التي تؤدي إلى نقص خروج السوائل من الشعيرات؟,ارتفاع الضغط التناضحي الغرواني لبالزما الدم وانخفاض الضغط التناضحي الغرواني لبالزما السائل الخلالي وانخفاض ضغط الدم في الوعاء الشعيري
ما الصادات الحيوية التي تمنع تشكل الحموض النووية؟,ريفامبيسين وحمض الديسكيك وسبيروفلوكساسين
أين تفرغ الأقنية المفرغة للجهاز البولي والتناسلي في بداية تشكل الجنس؟,المذرق
ما الحالات التي تؤدي إلى ارتفاع الضغط النخامي للأسناخ الرئوية؟,نقص السورفاكتانت وزيادة كمية الماء في الأسناخ والأسناخ صغيرة الحجم
ما أشيع اختلاط لتشمع الكبد غير المعاوض؟,النزف من دوالي المري
ما المنشأ الجنيني للصفن؟,التورمات التناسلية
ما علامات آذية العصب الناصف؟,فقدان حركة الكب
ما الوظائف الغدية التي تقوم بها الكلية؟,صناعة هرمون الإريثروبويتين وصناعة الرينين وتحويل مركب 1 - هيدروكسي كولي كالسيفيرول إلى الشكل الفعال للفيتامين D
ما سبب طول مدة كامن الفعل في الليف العضلي القلبي؟,زيادة نفوذية الغشاء للكالسيوم ونقص نفوذيته للبوتاسيوم
ما المظاهر السريرية ملرض ضخامة النهايات؟,صداع وعصاب وزيادة في عرض القدم
ما العضو الذي ينمو في الحاجز المستعرض؟,الكبد
ما الاختلاطات التي يؤدي إليها فقر الدم بنقص الحديد المرافق للحمل؟,خطر الولادة الباكرة وخطر الإصابة بالهاب الوريد الخثري وخطر تألم جنين مزمن وخطر نقص نمو الجنين داخل الرحم
ما الذي يفصله الحاجز المريئي الرغامي؟,الانبوب الرغامي الحنجري والمري
ما الصادات الحيوية التي تمنع تشكل الحموض النووية؟,ريفامبيسين وحمض الديسكيك وسبيروفلوكساسين
ما الاختلاطات الجنينية التي يؤدي إليها الداء السكري خلال الحمل؟,وفاة الجنين وشذوذات نمو الجنين وشذوذات صبغية و خلقية وزيادة نسبة اليرقان عند الطفل حديث الولادة
ما المنشأ الجنيني لعضلات الوجه الإرادية؟,الأديم المتوسط جانب المحور
ماذا نجد في المسافات البابية؟,أوعية لمفية وأعصاب وشريان كبدي وفرع من وريد الباب وقناة صفراوية ونسيج ضام
بأي حالات تستطب الجراحة التلطيفية عند مرضى الأورام؟,الكسور المرضية
أي فيروسات يمكن أن تسبب التهاب سحايا عقيم؟,حمة النكاف والحمات المعوية (الكوساوي B) وحمة مثل الأطفال وحمة العقبول
ما الصادات التي تمنع تشكل جدار الخلية الجرثومية؟,الفانكومايسين وسيفادروكسيل واوغمنتين وباستراسين 
في أي الحالات تفيد الجراحة الوقائية من السرطان؟,داء البوليبات العائلي
ما الأنزيم الذي تفرزه العنقودية المذهبة ويعاكس في عمله عمل Coagulase؟,الأنزيم الحال الليفي
ما العمليات التي خضعت لها مادة تركيزها في البول أعلى بـ125 مرة من تركيزها في البلازما؟,الرشح
ما المعيار الذهبي لتشخيص أمراض الرئة الخلالية؟,الخزعة الرئوية
في أي مسببات التهاب الأمعاء يمكن لالريترومايسين أن يفيد؟,الكامبيلوباكتير
من أين يظهر الرتج التنفسي بعمر 4 أسابيع؟,الجدار البطني للمعي الامامي
ما مشتقات الأقواس البلعومية؟,غضاريف وعضلات وعظام
ماذا يشمل مصطلح الخلايا المتقرنة في الجلد؟,خلايا الطبقة القاعدية وخلايا الطبقة الشائكة وخلايا الطبقة المحببة وخلايا الطبقة المتقرنة
