Question,Answer
 اشر الاحتمال المقبول: أ. ان التحام الابهرين الظهريين يستمر حتى الشهرالخامس ب. تشكل كل قوس الاهرية قناه شريانية مؤقتة ج. يعطي كيس الأبهر كامل الجذع العضدي الرأسي د. تعطي قوس الابهر الثالثة جزء من السباتي الأصلي ,"د. تعطي قوس الابهر الثالثة جزء من السباتي الأصلي
"
في تطور القلب: أ. يتم انغلاق الفوهة الأولية بين الأذينتان بعد الولادة مباشرة ب. مصير القرن الأيسر للجيب الوريدي هو الجيب الإكليلي ج. معظم الحواجز القلبية تتشكل بين الأيام 16 حتى 27 د. كل ما سبق صحيح ,"ب. مصير القرن الأيسر للجيب الوريدي هو الجيب الإكليلي
"
في الربو القصبي كل ما يلي صحيح ما عدا: أ. هجمات متقطعة من الزلة التنفسية ب. مع أو بدون وزيز ج. فرط ارتكاس قصبي د. السعال موجود دائمًا,د. السعال موجود دائمًا
"في الاصابة بداء وحيدات النوى الخمجي كل ما يلي صحيح عدا: أ. أكثر خطورة عند المصاب بفقر دـ بنقص الحديد  ب. يعتبر فيروس ايبشتايف بار EBV عامال"" محرضا"" لممفوما بوركيت في افريقي ج.  تمزؽ الطحاؿ ىو االختالط االكثر خطورد. قد تؤدي الضخامة الشديدة في الموزتيف والعقد البمغمية المرافقة الى عسرة تنفسية شديدة
",أ. أكثر خطورة عند المصاب بفقر دـ بنقص الحديد
يختلف كامن فعل الليف العضلي القلبي عن كامن فعل الليف العقدي القلبي بما يلي عدا: أ. القيمة السلبية القصوى التي يصل إليها كامن الغشاء ب. طور الستقرار ج. المدة الزمنية لكامن الفعل د. قنوات الصوديوم السريعة المسؤولة عن زوال الاستقطاب ,د. قنوات الصوديوم السريعة المسؤولة عن زوال الاستقطاب
 اختر الاجابة الصحيحة: أ. هرمون جارات الدرق يؤدي إلى زيادة الكالسيوم في الدم ب. تملك حاطمات العظم مستقبلات لهرمون جارات الدرق على سطحها ج. A+C  د. الكالسيتونين يزيد عملية التعظم عن طريق تثبيط نشاط حاطمات العظم ,ج. A+C
مادة السورفاكتانت تنتج من: أ. الخلايا السنخية نمط 2 ب. الخلايا السنخية نمط 1 ج. الشعيرات الدموية د. الاوعية اللمفية ه. القصبات الثانوية,أ. الخلايا السنخية نمط 2
في النفث الدموي الحاد كل ما يلي صحيح ما عدا: أ. مصدره تحت الحبال الصوتية ب. لون الدم أسود ج. الـ PH قلوية د. يترافق مع السعال هـ. يشاهد بالسل الكهفي  ,ب. لون الدم أسود
من الأدوية التي تزيد من صنع الغلوبيولين الرابط للتريوكسين: أ. انسولين ب. بيرفينازون ج. أسبرين د. كل ما سبق صحيح,ب. بيرفينازون
"هذا الجزء من الكظر تشتق خلاياه من العرف العصبي انه: أ. لب الكظر ب. الطبقة الحزمية ج. الطبقة الشبكية د. الطبقة الحبيبية
",أ. لب الكظر
"في مراحل نضج الرئتين تتشكل الاسناخ الاولية خلال: أ. الفترة الغدية الكاذبة ب. الفترة القنوية ج. الفترة السنخية د. فترة الكيس الانتهائي 
",د. فترة الكيس الانتهائي
 كل ما يلي من الملحقات الجلدية ما عدا: أ. الغدد المصلية العرقية ب. الأشعارج. الغدد المصلية الخارجية د. الغدد الدهنية,ج. الغدد المصلية الخارجية
 كل مما يلي حول التهاب الكبد الخاطف صحيح ما عدا: أ. يحدث عادة قصور قلبي مرافق لتخرب الخلايا الكبدية ب. أهم الملامح السريرية هو دخول المريض في اعتلال دماغي ج. احتمال البقاء على قيد الحياة عند حدوث السبات أقل من %20 د. يحدث غالباً خلال 8 أسابيع من الإصابة بالتهاب الكبد الحاد ,أ. يحدث عادة قصور قلبي مرافق لتخرب الخلايا الكبدية
"كل ما يلي صحيح عن التسمم الوشيقي: أ. يصيب االنسان والحيوان ب. يترافق مع دوخة وعسر بلع ج. يترافق مع ازدواج رؤية د. يترافق مع ارتفاع حرارة مع بقاء المريض تام الوعي 
",د. يترافق مع ارتفاع حرارة مع بقاء المريض تام الوعي
ما هي العيارات الصحيحة حول الوسيط نيتريك أوكسيد؟ أ. منشطات الأنزيم المصنع تشمل نيتروغليسيرن و إيزوسوربيد ب. مثبطات الأنزيم المصنع تشمل المركبات (LNMMA) و (LNAME) ج. منشطات الأنزيم المصنع تشمل إيزوسوربيد داي تنرات و صوديوم نتروبروسيد د. مثبطات الأنزيم المصنع تشمل أحماض الهيموغلوبين وارتفاع الضغط الشرياني,أ. منشطات الأنزيم المصنع تشمل نيتروغليسيرن و إيزوسوربيد
 واحدة من العبارات التالية فيما يخص دور المهاد خاطئة: أ. للمهاد دور في الإدراك الفج للأحاسيس ب. تمر جميع المسالك الحسية في أثناء سيرها نحو القشرة المخية الحديثة بالمهاد  ج. يمكن لحس الألم ان يدرك كليا في المهاد د. المهاد مكان وجود عصبونات المرتبة الثالثة لجميع الأحاسيس,ب. تمر جميع المسالك الحسية في أثناء سيرها نحو القشرة المخية الحديثة بالمهاد 
"يشاهد التهاب البلغم مع توضع أغشية عليه وعلى اللوزتين في الإصابة بالأمراض التالية عدا: أ. داء وحدات النوى الحمضي ب. دفتريا البلغم ج. التهاب الحنجرة الرشحة الغدية (الإيبينوفيورس) د. التهاب البلغم واللوزات بالعقديات  
",ج. التهاب الحنجرة الرشحة الغدية (الإيبينوفيورس)  
" من طرق الوقاية من الجمرة الخبيثة: أ. تجنب اكل اللحم النيء وغير المطبوخ جيدا ب. كل ما سبق صحيح ج. تلقيح الحيوان د. حرق جثة الحيوان المصاب
",ب. كل ما سبق صحيح
"سرطان البروستات: أ.لا يعطي نقائل  ب. توضعه مركزي ج. أعراضه باكرة د. توضعه محيطي
",د. توضعه محيطي
"المريطاء هي البقايا الجنينية ل: أ. قناة مولر ب. القناة المحية المعوية ج. السقاء د. الحبال الجنسية البدئية
", ج. السقاء
"مريض عمره 60 سنة كان يعمل بمنجم للفحم لمدة 20 سنة، راجع بسعال وزلة تنفسية، صورة الصدر أظهرت ارتشاحات خلالية، فحص القشع كان إيجابيًا لعصية كوخ، أي من العوامل الآتية قد يكون عاملًا مؤهبًا لإصابته بالتدرن: أ. السيليكا ب. كادميوم ج. الفحم د. بيريليوم  
",أ. السيليكا
ارتفاع التوتر الشرياني الحملي Gestational Hypertension: أ. يترافق مع بيلة بروتينية ب.  يحدث فيه التوتر الشرياني قبل الأسبوع ال20 من الحمل ج. يتراجع بعد 3 اسابيع من الولادة د. هو تطور بيلة بروتينية عند سيدة لديها ارتفاع توتر شرياني مزمن ,أ. يترافق مع بيلة بروتينية
المركب المستخدم في تدريب الاكتئاب والوسواس القهري هو: أ. فنلزين ب. فلوكسيتين ج. تولبوتاميد د. كاربامازيين ,ب. فلوكسيتين
"اختر الاجابة الخاطئة عن البوريليا: أ.  تكون ذات لفات غير منتظمة والمسافة بين كل لفتين من 2 ل4 مكرون ب. جراثيم لولبية متحركة تتلون بسهولة بصبغة غيمزا ج. تسبب الحمى الراجعة التي تنتقل عبر القمل د. سبب داء اليم الذي ينتقل عبر الجهاز التنفسي
",أ. سبب داء اليم الذي ينتقل عبر الجهاز التنفسي
في متلازمة WAGER نجد كل ما يلي ما عدا: أ. غياب القرنية ب. اختلاف عقلي ج. تشوه السبيل البولي د. شحمة أذن مشطورة,د. شحمة أذن مشطورة
قد يحدث التثدي لدى الذكر المصاب بـ: أ. المراحل النهائية لسرطان البروستات ب. المراحل النهائية لقصور الكلية ج. كل ما سبق خطأ د. المراحل النهائية للداء السكري ,ج. كل ما سبق خطأ
"كل ما يلي صحيح عن اسواط الجراثيم ماعدا: أ. يكون السوط اطول من الخلية الجرثومية ب. تحوي مستضدات من النمط K ج. بعض الجراثيم لها سوط واحد وبعضها متعدد الاسواط د. كل المكورات لها سياط
","ب. تحوي مستضدات من النمط K
"
يؤدي تفعيل المكون الودي للجهاز العصبي المستقل إلى ما يلي عدا: أ. نقص جريان الدم نحو العضالت الهيكلية ب. ارتفاع الضغط الشرياني ج. تفعيل التشكيل الشبكي الصاعد د. توسع حدقتي العينين ,"أ. نقص جريان الدم نحو العضالت الهيكلية
"
تمنع الهرمونات التالية تقويض البروتينات في الجسم عدا: أ. التستوستيرون ب. هرمونات الدرق T3 و T4 ج. هرمون النمو د. الكورتيزول ,"د.الكورتيزول
"
ما يلي حول التهاب الكبد الفريوسي B صحيح ما عدا: أ. في المرحلة الحادة تظهر مستضدات (Ag HBs) ب. جيب معايرة ALT كل 15 يوم طوال فترة ظهور الريقان ج. في المرحلة المزمنة تظهر مستضدات (Ag HBe) د. تعود قيم البيلريوبين إلى المستوى السوي خلال 3-1 أشهر,"ج. في المرحلة المزمنة تظهر مستضدات (Ag HBe)
"
"تنشأ ظهارة المبطنة للمثانة البولية: أ. الاديم الباطن ب. اديم المتوسط الصفيحي الجانبي ج. الاديم المتوسط المجاور للمحور د. الاديم المتوسط الوسطاني 
",أ. الاديم الباطن
"من الإجرائات التي يجب اتخاذها في تدبير مريضة الارتجاع الحملي: أ. إعطاء ناهيات المخاض ب. إنهاء الحمل ج. بزل السائل السلوي لنفي التشوهات الجنينية د. عطاء الصادات
",ب. إنهاء الحمل
وجد التفاغرات الشريانية الوريدية بغزارة في: أ. أصابع اليدين والقدمين ب. كل ما سبق صحيح ج. الشفتين د. الأنف والأذن,ب. كل ما سبق صحيح 
تؤدي العوامل التالية إلى نقص خروج السوائل من الشعيرات عدا: أ. انخفاض ضغط السائل الخلالي ب. انخفاض الضغط التناضحي الغرواني لبالزما السائل الخلالي ج. ارتفاع الضغط التناضحي الغرواني لبالزما الدم د. انخفاض ضغط الدم في الوعاء الشعيري,"أ. انخفاض ضغط السائل الخلالي
"
كل ما هو آت خاطئ في البنكرياس ما عدا: أ. تصنيع الأنزيمات الهاضمة في جزر لانغرهانس ب. إفراز الهرمونات المنظمة للنمو ج. غدة انبوبية مركبة د. عدم احتوائه على الأقنية المخططة ,د. عدم احتوائه على الأقنية المخططة
"الصادات الحيوية التي تمنع تشكل الحموض النووية: أ. ريفامبيسين ب. حمض الديسكيك ج. كل ما سبق صحيح د.سبيروفلوكساسين
","ج. كل ما سبق صحيح
"
"في بداية تشكل الجنس الاقنية المفرغة للجهاز البولي والتناسلي تفرغ في: أ. قناة مولر ب. قناة وولف ج. المريطاء د. المذرق
","د. المذرق
"
تؤدي الحالت اآلتية إلى ارتفاع الضغط النخماصي لألسناخ الرئوية ما عدا: أ. الشهيق الجهدي ب. زيادة كمية الماء في الأسناخ ج. نقص السورفاكتانت د. الأسناخ صغيرة الحجم,"أ. الشهيق الجهدي
"
أشيع اختلاط لتشمع الكبد غير المعاوض هو: أ. .القصور الكلوي الحاد ب. النزف من دوالي المري ج. القصور التنفسي د. التهاب المعثكلة الحاد ,ب. النزف من دوالي المري
"الامراض التالية وبائية ماعدا: أ. الانفلونزا ب. الحصبة ج. الحمى المالطية د. الكوليرا
","ج. الحمى المالطية
"
كل ما هو آت في بنية الانبوب الهضمي صحيح ما عدا: أ. يتكون من اربعة اقمصة اساسية ب. يحتوي على غدد مختلفة خارجية الافراز ج. غزير بالاوعية الدموية د. يستر بظهارة اسطوانية ذات حافة ماصة ,د. يستر بظهارة اسطوانية ذات حافة ماصة
ما يلي حول التهاب الكبد الفريوسي A صحيح ما عدا: أ. يتم الانتقال عن الطريق البرازي الفموي ب. %2 من الحالات تتحول الى حامل مزمن  chronic carrier ج. تكون الأعراض والعلامات في أغلب الأحيان معتدلة د. مخبريا يمكن معايرة (HAV Ab IgG-IgM),"ب. %2 من الحالات تتحول الى حامل مزمن  chronic carrier
"
"في اصابات الجنب القيحية كل مما يلي صحيح في فحص سائل الجنب ما عدا: أ. الكريات الحمراء أكثر من 50 بالساحة ب. الكريات البيضاء أقل من 10 بالساحة ج. LDH 2000 وحدة/100 مل  د. السكر 15 مغ/100 مل 
 ",أـ. الكريات الحمراء أكثر من 50 بالساحة
" المنشأ الجنيني للصفن من: أ. البصلات الجيبية المهبلية   ب. الحديبات التناسلية ج. التورمات التناسلية د. الطيات الاحليلية

","ج. التورمات التناسلية
"
"من علامات آذية العصب الناصف: أ. هبوط القدم ب. شلل ثلاثية الرؤوس ج. هبوط المعصم د. فقدان حركة الكب
","د. فقدان حركة الكب
"
"ما هو صحيح في حالة انسداد الأمعاء المرافق للحمل: أ. يحدث غالبا خلال الثلث الأول من الحمل ب. الإنسداد سببه غالبا الالتصاقات الناجمة عن جراحات سابقة ج. نجد هلال غازي تحت قبة الحجاب الحاجز في الصورة الشعاعية د. عند التشخيص يجب فتح جراحيا فورا 
",ب. الإنسداد سببه غالبا الالتصاقات الناجمة عن جراحات سابقة
تقوم الكلية بالوظائف الغدية التالية عدا: أ. صناعة الألدوستيرون ب. صناعة هرمون الإريثروبويتين ج. صناعة الرينين د. تحويل مركب 1 - هيدروكسي كولي كالسيفيرول إلى الشكل الفعال للفيتامين D,"أ. صناعة الألدوستيرون
"
كل ما هو آت في بنية الشفاه خاطئ ماعدا: أ. يوجد فيها عضلات مخططة مستديرة ب.غياب القميص تحت المخاطي ج. نميز فيها قسم جلدي خارجي وقسم داخلي مخاطي فقط  د. يلاحظ نمو العضلية المخاطية في القسم المخاطي,"أ. يوجد فيها عضلات مخططة مستديرة
"
سبب طول مدة كامن الفعل في الليف العضلي القلبي هو: أ. زيادة نفوذية الغشاء للكالسيوم و البوتاسيوم ب. زيادة نفوذية الغشاء للكالسيوم ونقص نفوذيته للبوتاسيوم ج. زيادة نفوذية الغشاء للصوديوم و البوتاسيوم د. زيادة نفوذية الغشاء للصوديوم ونقص نفوذيته للبوتاسيوم,"ب. زيادة نفوذية الغشاء للكالسيوم ونقص نفوذيته للبوتاسيوم
"
"كل ما يلي صحيح عن السبيل البصري ما عدا: أ. يحوي السبيل األيمن ألياف النصف اإلنسي للعين اليسرى ب. يتكون من ألياف مصالبة وغير مصالبة. ج. يحوي السبيل الأيمن ألياف النصف الصدغي للعين اليمنى د.  يبدأ من التصالب البصري وينتهي في المركز البصري
",د. يبدأ من التصالب البصري وينتهي في المركز البصري.
من أسباب الانصباب الرشح transudate: أ. النزف ب. الخباثات ج. كل ما سبق خطأ د. الانتانات ,ج. كل ما سبق خطأ
"لتشخيص ضمور العصب البصري كل مما يلي صحيح ما عدا: أ. يمكن الاعتماد على فحص رؤية اللون ب. تتأثر القدرة البصرية في جميع الحالات ج. في المراحل الباكرة يظهر شحوب خفيف في أحد أقسام العصب البصري د. يفيد تصوير الشبكية بالفلوريسين في التشخيص
",ب. تتأثر القدرة البصرية في جميع الحالات
"يتصف حماق الوليد بكل ما يلي عدا : أ. يحدث الخمج البدئي داخل الحياة الرحمية ب. قد يكون هذا الشكل مهددا للحياة ج. تعتمد خطورة الأصابة عمى مقدار الأضداد الوالدية لفيروس الحماق د. ينصح باستعمال الغلوبيولين المناعي لكل وليد من أم حدث لديها حماق قبل أو بعد الولادة بأسبوعين
",د. ينصح باستعمال الغلوبيولين المناعي لكل وليد من أم حدث لديها حماق قبل أو بعد الولادة بأسبوعين
 من المظاهر السريرية ملرض ضخامة النهايات ما عدا: أ. يصبح صوت المريض حاداً وناعما ب. صداع ج. عصاب د. زيادة في عرض القدم,أ. يصبح صوت المريض حاداً وناعما
"كسور قاعدة الجمجمة: أ. يرافقها تسرب للسائل الدماغي الشوكي (CSF) ب. يرافقها تلف في الأعصاب القحفية ج. مكونة من كسور خطية د. كل ما سبق صحيح
",د. كل ما سبق صحيح
"العضو الذي ينمو في الحاجز المستعرض: أ. المعدة ب. الكلية ج. الطحال د. الكبد
","د. الكبد
"
 أحد هذه المفاهيم خاطئة فيما يتعلق بالعضالت الهيكلية: أ. يتطلب وصول كامن الفعل إلى جميع انحاء الليف العضلي وجود جهاز الأنابيب المستعرضة ب. يتطلب حدوث ارتباط المواقع الفعالة على خيط الأكتين مع رؤوس الميوزين وجود ATP ج. العامل الذي يسبب تحرر شوارد الكالسيوم من الشبكة الهيولية هو كامن الفعل د. يمكن حدوث تقلص عضلي بدون حدوث قصر في القسيم العضلي ,"ب. يتطلب حدوث ارتباط المواقع الفعالة على خيط الأكتين مع رؤوس الميوزين وجود ATP
"
يؤدي فقر الدم بنقص الحديد المرافق للحمل إلى الإختلاطات التالية ما عدا: أ. خطر الولادة الباكرة ب. خطر تألم جنين حاد ج. خطر الإصابة بالهاب الوريد الخثري د. خطر تألم جنين مزمن , ب. خطر تألم جنين حاد
"الحجز المريئي الرغامي يفصل بين: أ. المري والبلعوم الانفي ب. الانبوب الرغامي الحنجري والبلعوم الانفي ج. المري والبلعوم الفموي د. الانبوب الرغامي الحنجري والمري 
","د. الانبوب الرغامي الحنجري والمري 
"
الصادات الحيوية التي تمنع تشكل الحموض النووية: أ. ريفامبيسين ب. حمض الديسكيك ج. سبيروفلوكساسين د. كل ما سبق صحيح,د. كل ما سبق صحيح 
يؤدي الداء السكري خلال الحمل إلى الاختلاطات الجنينية التالية ما عدا: أ. نقص سكر و كلس الجنين ب. شذوذات نمو الجنين ج. شذوذات صبغية و خلقية د. وفاة الجنين ,أ. نقص سكر و كلس الجنين
"فيما يتعلق بزمن التضاعف (Doubling Time): أ. الأورام الدموية لها زمن تضاعف أطول من الأورام الصلبة ب. يتطلب الورم 30 زمن تضاعف حتى يصبح بحجم 1 سم ج. متوسط زمن التضاعف لأغلب الأورام هو 2-3 يوم د. يتطلب الورم 30 زمن تضاعف حتى ينمو من 1 غ إلى 1 كغ
",ب. يتطلب الورم 30 زمن تضاعف حتى يصبح بحجم 1 سم
"المنشأ الجنيني لعضات الوجه الأرادية: أ.لويحات الأديم الظاهر ب. خلايا العرف العصبي ج. الأديم المتوسط جانب المحور د. الإجابتان C+B
",ج. الأديم المتوسط جانب المحور
 في دبقوم العصب البصري كل مما يلي صحيح ما عدا: أ. تنمو على حساب الجزء الدبقي من ألياف العصب البصري ب. تخترق غلاف العصب البصري السحائي ج. تنمو ببطء د. لا تعطي انتقالات,ب. تخترق غلاف العصب البصري السحائي
نجد في المسافات البابية ما عدا: أ. أوعية لمفية وأعصاب ب. شريان كبدي وفرع من وريد الباب ج. قناة صفراوية ونسيج ضام د. وريد كبدي ,د. وريد كبدي
"تستطب الجراحة التلطيفية عند مرضى الأورام في حالات: أ. ارتفاع كلس الدم ب. ارتفاع المعتدلات ج. الكسور المرضية د. نقص الشهية
",ج. الكسور المرضية
"كل الفيروسات التالية يمكن أن تسبب التهاب سحايا عقيم عدا: أ. حمة التهاب الكبد B  ب. الحمات المعوية (الكوساوي B)  ج.  حمة النكاف د. حمة مثل الأطفال  
",أ. حمة التهاب الكبد B  
":الجلد في Merocrine Type Sweat Glands أ. تصب اقنيتها المفرغة في الاجربة الشعرية ب. تمتاز بان مفرزاتها لزجة ج. تعتبر غدد مول في حواف الاجفان مثالا عليها كغدد عرقية معدلة د. كل ما سبق خطأ
",د. كل ما سبق خطأ
"في تركيب الحصيات: أ. الدوائية هي السيستين ب. غير الإنتانية هي كربونات الأبَاتيت ج. الإنتانية هي السيتروفيت د. الكازينتين غير وراثية
",ج. الإنتانية هي السيتروفيت
 كل مما يلي حول تشمع الكبد الالمُعاوض صحيح ما عدا: أ. يوجد لدى املرضى نقص خلايا شامل Pancytopenia ب. درجة ارتفاع البيلريوبين تتناسب مع درجة قصور الخلية الكبدية ج. يحدث ارتفاع في الألبومين وانخفاض في الغاما غلوبولين د. غالباً ما يزداد زمن الربوثرومبين,"ج. يحدث ارتفاع في الألبومين وانخفاض في الغاما غلوبولين
"
"كل الصادات التالية تمنع تشكل جدار الخلية الجرثومية ماعدا: أ. سيفادروكسيل ب. جنتاميسين ج. اوغمنتين د. الفانكومايسين
",ب. جنتاميسين
"تفيد الجراحة الوقائية من السرطان في حالات: أ. داء البوليبات العائلي ب. الكلية متعددة الكيسات ج. المبيض متعدد الكيسات د. الداء الزلاقي
",أ. داء البوليبات العائلي
"أنزيم تفرزه العنقودية المذهبة ويعاكس في عمله عمل Coagulase: أ. ليباز ب. بنسيليناز ج. هيالورونيداز د. الأنزيم الحال الليفي
","د. الأنزيم الحال الليفي
"
تتميز منطقة البواب بأن: أ. الوهدات المعدية تكون سطحية ب. الوهدات المعدية تكون عميقة ج. الخلايا المفرزة للغاسترين تكون غائبة د. كل ما سبق خطأ,"ب. الوهدات المعدية تكون عميقة
"
"ارتفاع تركيز مادة ما في البول إلى 125 ضعف تركيزها في البلازما يشير إلى أن العمليات التي خضعت لها هذه المادة هي: أ. الرشح + الافراز ب. الرشح+ عود المتصاص الجزئي ج. الرشح فقط د. الرشح + عود الامتصاص الكلي
","ج. الرشح فقط
"
"المعيار الذهبي لتشخيص أمراض الرئة الخلالية: أ. اختبارات المناعة الذاتية ب. الصورة البسيطة  ج. الخزعة الرئوية  د. التصوير الطبقي المحوري للصدر  
",ج. الخزعة الرئوية
"يمكف لالريترومايسين أن يفيد في واحد من مسببات التهاب الأمعاء التالية: أ. الكامبيلوباكتير ب. السالمونيللا ج. العصيات الكولونية د. الشيغللا
",أ. الكامبيلوباكتير
"كل من المشاركات التالية صحيحة ما عدا: أ. أموكسيسيللين وكلاريثرومايسين ب. بيبرساللين وتازوباكتام ج. أوكس برينولول والكلوثاليدون د. تري هكسيفينيديل وتريمورين
",د. تري هكسيفينيديل وتريمورين
 واحد من العبارات التالية فيما يخص التهوية السنخية في الحالات السوية خاطئة: أ. ترفع الزيادة الشديدة في التهوية ب. يؤدي ارتفاع PO2 السنخي إلى تضيق الأوعية الدموية للنسج السنخية PO2 في الأسناخ إلى 149 ملم ج. تدعى الممرات التنفسية التي لا يتم فيها تبادل غازي dead space د. يؤدي ارتفاع ال PO2 السنخي إلى زيادة الفة الخضاب ل O2,"ب. يؤدي ارتفاع PO2 السنخي إلى تضيق الأوعية الدموية للنسج
"
بعمر 4 اسابيع يظهر الرتج التنفسي من: أ. الجدار الظهري للمعي الامامي ب. الجدار الظهري للمعي المتوسط ج. الجدارالبطني للمعي المتوسط د. الجدار البطني للمعي الامامي  ,"د. الجدار البطني للمعي الامامي 
"
"كل مما يلي صحيحة ما عدا: أ. لا يجوز مزج البنسلين مع التتراسيكلين في محقنة واحدة ب. لا يجوز مشاركة الكازولين مع البكتين ج.لا يجوز مزج الهيبارين مع الهيدروكورتيزون في محقنة واحدة د.لا يجوز مزج الديازيبام مع البنسلين في محقنة واحدة
",ب. لا يجوز مشاركة الكازولين مع البكتين.
تعطي الاقواس البلعومية مشتقات منها: أ. غضاريف ب. عضلات ج. عظام د. كل ما سبق,د. كل ما سبق
"يشمل مصطلح الخلايا المتقرنة في الجلد كل ما يلي ما عدا: أ. خلايا الطبقة القاعدية  ب. خلايا الطبقة الشائكة ج. الخلايا الميلانينية د. خلايا الطبقة المحببة
","ج. الخلايا الميلانينية
"
" في الجهاز التناسلي الذكري: أ. ظهارة قناة البربخ مسطحة بسيطة ب. الشبكة الخصيوية تبطن بظهارة اسطوانية مطبقة كتذبة ج. الأنيبيبات المستقيمة تبطن بظهارة مكعبة د. A+B
","ج. الأنيبيبات المستقيمة تبطن بظهارة مكعبة
"
"عند  فحص الساحة البصرية في ضمور ليبر كل مما يلي صحيح ما عدا: أ. الشحوب يكون عند الجانب الأنفي خاصة ب. حدود الساحة البصرية المحيطية ضمن الحدود الطبيعية ج. ضمور العصب البصري يظهر تدريجيا د. وجود عتمة مركزية مطلقة للون الأبيض 

","أ. الشحوب يكون عند الجانب الأنفي خاصة
"
