Question,Answer
"يز حزمة الفوتونات المستخدمة في معالجة الأورام:

A. هي أمواج كهرطيسية
B. ليس لها كتلة
C. ليس لها شحنة
D. قد تنجم عن حادثة فرملة حزمة الإلكترونات
E. قد تنجم عن تحطم نوى بعض النظائر المشعة","A. هي أمواج كهرطيسية"
"الأنسجة ذات الارتكاس الباكر في المعالجة الشعاعية:

A. مخاطية المثانة
B. مخاطية المعدة
C. البطانة الوعائية
D. نقي العظم
E. بشرة الجلد","C. البطانة الوعائية"
"بالنسبة للتأثيرات المتأخرة للمعالجة الشعاعية:

A. تعتبر ذاتية الانتهاء
B. تحدث بعد 6 أسابيع من العلاج الشعاعي
C. تحدث فقط ضمن الحقل الشعاعي
D. ترتبط بالارتكاسات الحادة
E. لا ترتبط بمقدار الجرعة في كل جلسة","C. تحدث فقط ضمن الحقل الشعاعي
"
"تسمح التجزئة في المعالجة الشعاعية للخلايا السليمة بـ:

A. Repair
B. Repopulation
C. Reconstruction
D. Re-oxygenation
E. Redistribution","C. Reconstruction"
"من الأدوية التي تستخدم كمعالجة كيميائية مشاركة ومحسسة للمعالجة الشعاعية في أورام الحنجرة:

A. Cyclophosphamide
B. Bleomycin
C. Vincristine
D. Cisplatin
E. Gemcitabine","D. Cisplatin"
"تستخدم المعالجة الشعاعية كمعالجة شافية لوحدها في أورام:

A. الشفة
B. الحبل الصوتي
C. الثدي
D. البروستات
E. المعدة","B. الحبل الصوتي"
"بالنسبة للتأثيرات المتأخرة للمعالجة الشعاعية:

A. تعتبر ذاتية الانتهاء
B. تحدث بعد 6 أسابيع من العلاج الشعاعي
C. تحدث فقط ضمن الحقل الشعاعي
D. ترتبط بالارتكاسات الحادة
E. لا ترتبط بمقدار الجرعة في كل جلسة","C. تحدث فقط ضمن الحقل الشعاعي
"
"تنتج حزمة الإلكترونات المستخدمة في معالجة الأورام من:

A. الغاما نايف
B. المسرع الخطي
C. المسرع الحلقي
D. الكوبالت
E. السيزيوم","B. المسرع الخطي"
"من مضادات الأندروجين المستخدمة في علم الأورام:

A. Letrozol
B. Exemestane
C. Flutamide
D. Fulvestrant
E. Ifosfamide","C. Flutamide"
"يتميز جهاز المعالجة بالكوبالت 60 بأنه يولد أشعة:

A. إلكترونية
B. سينية
C. غاما
D. تحت حمراء
E. فوق بنفسجية","C. غاما"
"يمكن استخدام لقاح BCG في علاج:

A. ابيضاض لمفاوي حاد
B. سرطان مثانة
C. سرطان معدة
D. سرطان رئة
E. سرطان بالبلعوم الأنفي","B. سرطان مثانة"
"يمكن استخدام الإنترلوكين-2 في علاج:

A. ابيضاض نقوي حاد
B. ميلانوما
C. سرطان مبيض
D. سرطان شرج
E. سرطان عنق الرحم","B. ميلانوما"
"يستخدم الـ Imatinib كخط أول في علاج:

A. CML
B. CLL
C. AML
D. MM
E. MS","A. CML
"
"من الأدوية التي تستهدف عامل النمو البطاني VEGF:

A. Cetuximab
B. Trastuzumab
C. Bevacizumab
D. Rituximab
E. Erlotinib","C. Bevacizumab
"
"من الأدوية التي تستهدف طفرة الـ BRAF:

A. Lapatinib
B. Vemurafinib
C. Erlotinib
D. Gefitinib
E. Sunitinib","B. Vemurafinib"
"يمكن استخدام الإنترفيرون ألفا في علاج (عدا):

A. ابيضاض الدم النقوي
B. ميلانوما
C. سرطان بروستات
D. سرطان كلية كلوية
E. كارسينوئيد","C. سرطان بروستات"
