Question ,Answer 
"Fill in the blanks in the following sentence: Neuroglycopenic symptoms of insulinoma include ____, ____, and amnesia.",Dizziness; diplopia
"Fill in the blank in the following sentence: Congenital torticollis is caused by an injury of the _______ muscle, and it appears 2-3 weeks after birth as a hard lump in the middle of the affected muscle.",Sternocleidomastoid
"Fill in the blank in the following sentence: One of the autoimmune causes of adrenal insufficiency is _____, which is associated with 21-hydroxylase antibodies.",Autoimmune Adrenalitis
Fill in the blank in the following sentence: A key biochemical abnormality in some patients with epilepsy is a reduction in the inhibitory neurotransmitter _____.,GABA
"Fill in the blank in the following sentence: Intestinal infections (gastroenteritis) may be accompanied by symptoms such as vomiting and diarrhea, and the most important complication is ___, which is assessed on clinical examination by sunken eyes or fontanelles and delayed capillary refill.",Dehydration
"Fill in the blanks in the following sentence: The hallmark imaging finding in chronic calcifying pancreatitis is ____, often linked to ____.",Calcifications; alcohol abuse
"Fill in the blanks in the following sentence: Memory loss following encephalitis is commonly caused by ____, which leads to symptoms such as ____ and temporary or permanent amnesia.","HSV, retrograde amnesia"
"Fill in the blank in the following sentence: One of the autoimmune causes of hyperthyroidism is _____ disease, which is associated with the presence of thyroid-stimulating antibodies.",Graves'
"Fill in the blanks in the following sentence: Treatment of severe myocarditis includes inotropic agents like ____, which are particularly useful in cases of reduced EF.",Dobutamine
Fill in the blanks in the following sentences: Among the factors that play a role in the transcription of genes responsible for transformation: 1. The gene ___ is the main regulator of transformation. 2. The state of the ___ of the gene. 3. The sequence of ___ and the chromosome promoter.,BCL11A - Methylation - Splicing
"Fill in the blanks in the following sentence: In infants, acute pharyngitis is typically treated using antibiotics such as _____ and ______.","Cephalosporins, Microlides"
"Fill in the blanks in the following sentence: A positive D-Dimer test indicates possible thrombus, while a negative test effectively ____.",Excludes thromboembolism
"Fill in the blank in the following sentence: Several days before labor begins, the fetus's _____ levels rise, stimulating the enzyme system to convert T4 to the metabolically active T3.",Cortisol
"Fill in the blanks in the following sentence: Hypoxic encephalopathy leading to coma is commonly caused by ____, resulting in ____.",Cardiac arrest; global hypoperfusion
Fill in the blank in the following sentence: The pathological cause of keratolysis latina is _____ and ____.,Micrococci and Sedentarius
"Fill in the blanks in the following sentence: Erb-Duchenne palsy is caused by a slight decrease in the size of the ____ and _____ of the brachial plexus, resulting in an extreme position of the limb in internal adduction to assist with the characteristic elbow position.","C5, C6"
"Fill in the blank in the following statement: The ""Waiter Tip"" position in brachial plexus injuries is caused by the injury of _____.",C5 and C6 roots
"Fill in the blank in the following sentence: The metabolic acidosis in DKA is caused by the accumulation of _____, which are produced due to the breakdown of fatty acids in the absence of insulin.",Beta-hydroxybutyrate
Fill in the blanks in the following sentence: The presence of ____ on imaging often indicates complications like pseudocysts or abscesses in chronic pancreatitis.,Fluid collections
"Fill in the blank in the following sentence: In newborns, ______ appears as short focal muscle tremors affecting the extremities. In this condition, the newborn is generally conscious but the tremors may last for a long period of time, affecting consciousness and leading to cyanosis.",Muscular Dystrophy
"Fill in the blank in the following sentence: On routine examination of a child, ___________ is the most likely cause of scrotal enlargement and a positive opacity test.",Hydrocele
"Fill in the blanks in the following sentence: One of the most common inherited risk factors for DVT is ____, caused by a mutation in ____.",Factor V Leiden; Factor V
Fill in the blank in the following sentence: Perineal thrust is a procedure done to protect the perineal tissue and ____ from tearing.,Labia
"Fill in the blanks in the following sentence: Exudative pleural effusion is commonly caused by ____, whereas transudative effusion is associated with ____.",Increased capillary permeability; increased hydrostatic pressure
"Fill in the blanks in the following sentence: In the umbilical cord, the blood vessels are surrounded by a gelatinous substance called _____, which is largely made up of ______ and whose main function is to insulate and protect the umbilical cord in the womb.","Wharton's Jelly, Mucopolysaccharides"
Fill in the blanks in the following sentence: The accumulation of fluid in pleural effusion is due to an imbalance between ____ and ____.,Oncotic pressure; hydrostatic pressure
"Fill in the blanks in the following sentence: Thrombolytic agents like ____, are reserved for cases of massive DVT or PE with hemodynamic compromise.",Streptokinase
"Fill in the blanks in the following sentence: In cases of barbiturate poisoning, coma is characterized by ____, with treatment involving ____.",Hyporeflexia; supportive care
"Fill in the blanks in the following sentence: Symptoms of right-sided heart failure include ____, while left-sided heart failure commonly presents with ____.",Peripheral edema; pulmonary congestion
"Fill in the blanks in the following sentence: Clinical symptoms of chronic pancreatitis typically include ____, while steatorrhea becomes evident when pancreatic lipase secretion falls below ____ of normal.",Epigastric pain; 10%
"Fill in the blanks in the following sentence: In newborn infants (36 hours or less), bleeding under the _____ is usually harmless, while bleeding in the _____ indicates a serious injury.","Conjunctiva, retina"
Fill in the blank in the following sentence: Herpes simplex virus causes lesions in the _____ area and is transmitted by direct contact or sexual contact.,Mucocutaneous junction
"Fill in the blanks in the following sentence: Chylothorax, a rare form of pleural effusion, is caused by ____, leading to the accumulation of ____.",Lymphatic disruption; triglyceride-rich fluid
"Fill in the blank in the following sentence: In cases of adrenal insufficiency, dehydration can result from _____ and increased ADH release.",Hyponatremia
"Fill in the blanks in the following sentence: After fertilization, blastomeres divide continuously for 72 hours until they form a 16-cell ball called the ____, which then turns into a blastocyst.",Morula
"Fill in the blanks in the following sentence: The diagnosis of insulinoma is confirmed by demonstrating fasting hypoglycemia, with blood glucose levels below ____ and insulin levels ____ during an episode.",40 mg/dL; elevated
"Fill in the blanks in the following sentence: In managing acute DVT, initial therapy involves ____, followed by long-term therapy with ____.",Heparin; Warfarin
"Fill in the blanks in the following sentence: In cases of dementia, the D in the acronym DEMENTIAS refers to _____. This condition is commonly caused by ____ or improper use of medications.","Drugs, alcohol toxicity"
Fill in the blank in the following sentence: Topical treatment of keratolysis externa depends on the use of _____.,Erythromycin
Fill in the blank in the following sentence: A distinguishing feature of generalized tonic-clonic seizures (GTCs) is _____.,Symmetrical movement of all limbs
"Fill in the blanks in the following sentence: In the context of myocarditis, elevated WBC and ESR levels are suggestive of ____, while viral antibody testing helps confirm ____.",Acute inflammation; the specific viral agent
"Fill in the blank in the following sentence: In Graves' disease, the presence of _____ antibodies against TSH receptors results in hyperthyroidism.",stimulatory
"Fill in the blank in the following sentence: In DKA, the body experiences severe dehydration due to _____ diuresis, leading to a loss of electrolytes such as sodium and _____.","osmotic, potassium"
"Fill in the blanks in the following sentence: A diagnostic test for pancreatic exocrine insufficiency measures ____ levels in stool, which decrease significantly in advanced chronic pancreatitis.",Elastase
Fill in the blank in the following sentence: Among the most commonly used diagnostic tests for paroxysmal nocturnal hemoglobinuria are _____ and ______.,"Hartmann's sugar water test, Ham's test"
"Fill in the blanks in the following sentence: Definitive imaging for identifying structural abnormalities in chronic pancreatitis includes ____, which is superior to ultrasound in detecting _____.",Endoscopic ultrasound; fibrosis
Fill in the blanks in the following sentence: A Light’s criteria diagnosis of exudative effusion is met when pleural fluid LDH exceeds ____ of the upper limit of normal serum LDH.,70%
Fill in the blank in the following sentence: Multi-endocrine neoplasia syndromes can occasionally present with concurrent _____ and hyperthyroidism.,pheochromocytoma
Fill in the blank in the following sentence: Sideroblastic anemia is characterized by the presence of blasts in ___ in which iron is located in a ring around the nucleus.,Bone marrow
Fill in the blank in the following sentence: Diabetic ketoacidosis (DKA) is a life-threatening condition that primarily occurs in patients with type _____ diabetes and is characterized by metabolic _____.,"1, Acidosis"
"Fill in the blank in the following sentence: In the diagnosis of adrenal insufficiency, the Short Synacthen Test involves injecting _____ and measuring cortisol levels after 30 minutes.",250 mcg of ACTH
